"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.10.2020","62,16","62,16","62,16","62,16","0,03K","-0,19%"
"29.10.2020","62,28","62,55","62,55","62,35","0,02K","-1,66%"
"28.10.2020","63,33","63,33","63,33","63,33","0,01K","-0,22%"
"27.10.2020","63,47","63,25","63,25","63,25","0,02K","-0,13%"
"26.10.2020","63,55","63,70","63,70","63,70","0,01K","-0,16%"
"23.10.2020","63,65","63,65","63,65","63,65","0,00K","0,19%"
"22.10.2020","63,53","63,53","63,53","63,53","0,00K","0,95%"
"21.10.2020","62,93","63,40","63,40","63,00","0,00K","-0,90%"
"20.10.2020","63,50","63,50","63,50","63,50","0,02K","-0,24%"
"19.10.2020","63,65","63,60","63,60","63,30","0,06K","0,95%"
"16.10.2020","63,05","62,65","63,00","62,40","0,02K","1,03%"
"15.10.2020","62,41","62,00","62,35","62,00","0,05K","0,68%"
"14.10.2020","61,99","62,50","62,50","62,00","0,04K","0,58%"
"13.10.2020","61,63","60,90","60,90","60,60","0,04K","-0,06%"
"12.10.2020","61,67","62,65","62,65","62,10","0,04K","-2,93%"
"09.10.2020","63,53","63,53","63,53","63,53","0,03K","-0,97%"
"08.10.2020","64,15","64,40","64,40","64,40","0,05K","-0,80%"
"07.10.2020","64,67","64,75","64,75","64,70","0,01K","-1,13%"
"06.10.2020","65,41","65,50","65,50","65,50","0,01K","-0,08%"
"05.10.2020","65,46","65,20","65,45","65,20","0,02K","1,16%"
"02.10.2020","64,71","65,50","65,50","64,75","0,01K","-2,03%"
"01.10.2020","66,05","66,00","66,25","66,00","0,02K","0,30%"
"30.09.2020","65,85","65,65","65,80","65,25","0,04K","0,32%"
"29.09.2020","65,64","66,00","66,10","65,65","0,03K","-0,29%"
"28.09.2020","65,83","65,70","65,75","65,50","0,03K","0,69%"
"25.09.2020","65,38","65,38","65,38","65,38","0,00K","-0,52%"
"24.09.2020","65,72","65,90","66,10","65,60","0,06K","0,12%"
"23.09.2020","65,64","65,25","65,70","65,25","0,05K","0,86%"
"22.09.2020","65,08","64,75","64,75","64,75","0,06K","-0,08%"
"21.09.2020","65,13","65,90","66,20","64,95","0,05K","-0,84%"
"18.09.2020","65,68","64,90","65,50","64,90","0,02K","1,25%"
"17.09.2020","64,87","64,75","65,10","64,50","0,03K","0,36%"
"16.09.2020","64,64","64,00","64,35","64,00","0,02K","2,59%"
"15.09.2020","63,01","63,15","63,25","63,15","0,01K","0,49%"
"14.09.2020","62,70","62,75","63,00","62,50","0,02K","0,71%"
"11.09.2020","62,26","62,25","62,50","62,25","0,00K","1,24%"
"10.09.2020","61,50","61,50","61,50","61,50","0,01K","1,45%"
"09.09.2020","60,62","60,62","60,62","60,62","0,01K","0,45%"
"08.09.2020","60,35","59,70","60,50","59,70","0,01K","1,43%"
"07.09.2020","59,50","59,50","59,50","59,30","0,01K","-0,83%"
"04.09.2020","60,00","60,00","60,10","60,00","0,04K","-1,07%"
"03.09.2020","60,65","60,50","60,50","60,50","0,01K","-0,70%"
"02.09.2020","61,08","61,50","61,50","61,50","0,01K","-1,71%"
"01.09.2020","62,14","62,05","62,30","62,00","0,01K","0,49%"
"31.08.2020","61,84","61,84","61,84","61,84","-","0,52%"
"28.08.2020","61,52","61,50","61,50","61,50","0,03K","0,90%"
"27.08.2020","60,97","60,00","61,00","60,00","0,04K","2,42%"
"26.08.2020","59,53","59,53","59,53","59,53","0,01K","0,76%"
"25.08.2020","59,08","58,35","59,25","58,00","0,03K","1,37%"
"24.08.2020","58,28","58,70","58,70","58,70","0,01K","0,17%"
"21.08.2020","58,18","58,25","58,25","58,25","0,02K","-1,44%"
"20.08.2020","59,03","60,00","60,00","58,90","0,03K","-2,64%"
"19.08.2020","60,63","61,55","61,55","60,60","0,03K","-1,78%"
"18.08.2020","61,73","61,75","61,75","61,75","0,01K","-0,19%"
"17.08.2020","61,85","62,00","62,00","62,00","0,01K","-0,45%"
"14.08.2020","62,13","62,10","62,10","62,10","0,01K","0,24%"
"13.08.2020","61,98","61,95","62,30","61,95","0,02K","0,34%"
"12.08.2020","61,77","62,10","62,10","61,80","0,03K","-1,67%"
"11.08.2020","62,82","63,25","63,25","63,25","0,02K","-2,53%"
"10.08.2020","64,45","64,65","64,65","64,65","0,01K","-1,75%"
"07.08.2020","65,60","65,60","65,60","65,60","0,01K","1,75%"
"06.08.2020","64,47","64,75","64,75","64,75","0,02K","-1,66%"
"05.08.2020","65,56","66,00","66,00","65,75","0,01K","-1,01%"
"04.08.2020","66,23","66,23","66,23","66,23","0,03K","-0,26%"
"03.08.2020","66,40","66,55","66,55","66,55","0,02K","-0,29%"
"31.07.2020","66,59","66,59","66,59","66,59","0,00K","-0,08%"
"30.07.2020","66,64","66,64","66,64","66,64","0,00K","0,21%"
"29.07.2020","66,50","66,50","66,50","66,50","0,01K","0,71%"
"28.07.2020","66,03","66,10","66,10","66,10","0,03K","-0,48%"
"27.07.2020","66,35","67,00","67,00","67,00","0,01K","-0,88%"
"24.07.2020","66,94","66,94","66,94","66,94","0,01K","-0,34%"
"23.07.2020","67,17","67,50","67,50","67,25","0,02K","-0,83%"
"22.07.2020","67,73","68,00","68,00","68,00","0,01K","0,13%"
"21.07.2020","67,64","67,25","67,75","67,25","0,02K","1,50%"
"20.07.2020","66,64","66,90","66,90","66,75","0,01K","-0,76%"
"17.07.2020","67,15","67,25","67,25","67,25","0,03K","0,49%"
"16.07.2020","66,82","67,15","67,15","66,90","0,01K","-1,02%"
"15.07.2020","67,51","67,00","67,75","67,00","0,03K","1,14%"
"14.07.2020","66,75","66,75","66,75","66,75","0,02K","1,06%"
"13.07.2020","66,05","66,05","66,05","66,05","0,01K","0,82%"
"10.07.2020","65,51","65,51","65,51","65,51","-","-0,14%"
"09.07.2020","65,60","65,60","65,60","65,60","0,02K","-0,49%"
"08.07.2020","65,92","66,20","66,20","66,00","0,02K","-1,23%"
"07.07.2020","66,74","66,50","67,00","66,50","0,03K","1,00%"
"06.07.2020","66,08","66,08","66,08","66,08","0,00K","1,38%"
"03.07.2020","65,18","65,35","65,35","65,35","0,01K","-1,17%"
"02.07.2020","65,95","64,85","66,00","64,85","0,01K","2,36%"
"01.07.2020","64,43","64,40","64,55","64,30","0,01K","-0,39%"
"30.06.2020","64,68","64,35","64,75","64,35","0,01K","-0,17%"
"29.06.2020","64,79","64,55","64,95","64,55","0,01K","0,92%"
"26.06.2020","64,20","64,00","64,00","64,00","0,01K","0,80%"
"25.06.2020","63,69","63,35","63,70","63,35","0,02K","-0,48%"
"24.06.2020","64,00","64,00","64,00","64,00","0,01K","0,44%"
"23.06.2020","63,72","63,20","64,00","63,20","0,02K","0,84%"
"22.06.2020","63,19","62,50","63,25","62,50","0,01K","0,16%"
"19.06.2020","63,09","63,00","63,00","63,00","0,01K","0,72%"
"18.06.2020","62,64","62,30","62,30","62,30","0,02K","0,27%"
"17.06.2020","62,47","61,80","62,35","61,80","0,01K","-0,41%"
"16.06.2020","62,73","62,73","62,73","62,73","0,01K","-0,24%"
"15.06.2020","62,88","63,00","63,00","63,00","0,00K","0,35%"
"12.06.2020","62,66","62,66","62,66","62,66","0,01K","-0,02%"
"11.06.2020","62,67","62,75","62,75","62,70","0,01K","-0,89%"
"10.06.2020","63,23","63,00","63,00","63,00","0,01K","-0,24%"
"09.06.2020","63,38","63,38","63,38","63,38","0,01K","-0,55%"
"08.06.2020","63,73","63,70","63,70","63,70","0,03K","-0,14%"
"05.06.2020","63,82","63,25","64,00","63,25","0,02K","1,58%"
"04.06.2020","62,83","62,75","62,75","62,60","0,02K","-0,38%"
"03.06.2020","63,07","62,75","63,25","62,75","0,02K","0,37%"
"02.06.2020","62,84","62,00","62,50","62,00","0,02K","0,88%"
"01.06.2020","62,29","61,50","62,00","61,50","0,01K","2,15%"
"29.05.2020","60,98","60,85","60,85","60,85","0,01K","-0,11%"
"28.05.2020","61,05","62,00","62,00","61,00","0,01K","-1,34%"
"27.05.2020","61,88","62,00","62,00","62,00","0,00K","-0,51%"
"26.05.2020","62,20","62,25","62,25","62,25","0,01K","0,60%"
"25.05.2020","61,83","61,83","61,83","61,83","-","0,00%"
"22.05.2020","61,83","61,75","61,75","61,50","0,01K","-0,15%"
"21.05.2020","61,92","62,50","62,50","62,00","0,03K","-0,71%"
"20.05.2020","62,36","62,00","62,25","62,00","0,05K","0,99%"
"19.05.2020","61,75","61,50","61,50","61,50","0,01K","0,16%"
"18.05.2020","61,65","61,50","61,50","61,50","0,01K","0,18%"
"15.05.2020","61,54","63,50","63,50","62,00","0,04K","-1,54%"
"14.05.2020","62,50","62,50","63,00","62,25","0,04K","0,30%"
"13.05.2020","62,31","61,70","62,35","61,70","0,03K","0,91%"
"12.05.2020","61,75","61,60","62,10","61,60","0,02K","0,26%"
"11.05.2020","61,59","61,00","61,25","60,85","0,01K","0,72%"
"08.05.2020","61,15","61,15","61,15","61,15","-","0,00%"
"07.05.2020","61,15","61,00","61,25","61,00","0,03K","0,82%"
"06.05.2020","60,65","60,75","60,80","60,60","0,01K","0,02%"
"05.05.2020","60,64","60,25","60,65","60,25","0,01K","1,52%"
"04.05.2020","59,73","60,40","60,40","59,70","0,01K","-1,19%"
"01.05.2020","60,45","60,50","60,50","60,50","0,00K","-1,26%"
"30.04.2020","61,22","61,00","61,50","60,95","0,02K","0,86%"
"29.04.2020","60,70","60,00","61,00","60,00","0,02K","1,13%"
"28.04.2020","60,02","59,15","60,00","59,15","0,05K","0,45%"
"27.04.2020","59,75","59,75","59,75","59,75","0,00K","-2,34%"
"24.04.2020","61,18","60,75","61,25","60,75","0,01K","0,00%"
"23.04.2020","61,18","60,20","60,20","60,20","0,03K","0,76%"
"22.04.2020","60,72","60,05","61,20","60,05","0,02K","-0,54%"
"21.04.2020","61,05","61,50","61,50","61,50","0,00K","-2,01%"
"20.04.2020","62,30","62,30","62,30","62,30","0,00K","-0,89%"
"17.04.2020","62,86","62,86","62,86","62,86","0,01K","-0,38%"
"16.04.2020","63,10","63,50","63,50","63,10","0,01K","-1,07%"
"15.04.2020","63,78","64,00","64,00","64,00","0,01K","-1,19%"
"14.04.2020","64,55","64,55","64,55","64,55","0,02K","-2,49%"
"13.04.2020","66,20","66,20","66,20","66,20","-","0,00%"
"09.04.2020","66,20","66,20","66,20","66,20","-","-0,47%"
"08.04.2020","66,51","66,60","66,60","66,40","0,04K","-0,83%"
"07.04.2020","67,07","67,00","67,00","67,00","0,01K","0,00%"
"06.04.2020","67,07","67,07","67,07","67,07","0,01K","1,21%"
"03.04.2020","66,27","66,50","66,50","66,00","0,03K","-0,81%"
"02.04.2020","66,81","67,10","67,10","67,00","0,02K","-1,47%"
"01.04.2020","67,81","67,90","67,90","67,90","0,00K","-1,27%"
"31.03.2020","68,68","68,85","68,85","68,85","0,00K","-0,84%"
"30.03.2020","69,26","69,26","69,26","69,26","0,01K","-1,14%"
"27.03.2020","70,06","70,06","70,06","70,06","0,02K","-0,78%"
"26.03.2020","70,61","70,60","70,60","70,60","0,00K","0,18%"
"25.03.2020","70,48","70,70","70,80","70,25","0,03K","1,60%"
"24.03.2020","69,37","68,60","69,05","68,60","0,00K","3,17%"
"23.03.2020","67,24","68,50","68,50","67,50","0,01K","-2,69%"
"20.03.2020","69,10","69,00","69,10","69,00","0,01K","0,38%"
